id,season,week,startDate,startTimeTBD,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,capacity,grass,dome,city,state,zip,countryCode,timezone,latitude,longitude,elevation,constructionYear,game_date,temperature_c,precip_mm,windspeed_kmh,attendance_pct,high_attendance,flag_missing_attendance,flag_missing_capacity,flag_over_capacity,awayEloMissing,homeEloMissing
401628581,2024,1,2024-08-29T23:00:00.000Z,False,False,False,29450.0,3630,Allegacy Federal Credit Union Stadium,154,Wake Forest,ACC,45.0,"[7, 10, 21, 7]",0.982387900352478,1431.0,1431.0,2448,North Carolina A&T,fcs,Coastal Athletic,13.0,"[7, 3, 0, 3]",0.0176120996475219,1480.0,1472.0,3.697231428764851,31500.0,False,False,Winston-Salem,NC,27105.0,US,America/New_York,36.1305507,-80.2545851,283.548584,1968.0,2024-08-29,29.1,0.0,12.0,0.9349206349206348,1.0,False,False,False,True,False
401636387,2024,1,2024-08-29T23:00:00.000Z,False,False,False,11145.0,3817,Malone Stadium,2433,UL Monroe,Sun Belt,30.0,"[7, 7, 7, 9]",0.9698949195350997,1156.0,1156.0,2296,Jackson State,fcs,SWAC,14.0,"[0, 7, 7, 0]",0.0301050804649003,1480.0,1472.0,6.4645770987,27617.0,False,False,Monroe,LA,71209.0,US,America/Chicago,32.5308089,-92.0660602,22.998209,1978.0,2024-08-29,28.3,0.1,5.5,0.4035557808596154,0.0,False,False,False,True,False
401644728,2024,1,2024-08-29T23:30:00.000Z,False,False,False,23515.0,3739,Glass Bowl,2649,Toledo,Mid-American,49.0,"[21, 7, 14, 7]",0.978938102722168,1526.0,1526.0,2184,Duquesne,fcs,NEC,10.0,"[7, 3, 0, 0]",0.021061897277832,1480.0,1472.0,3.0303738346295788,26038.0,False,False,Toledo,OH,43606.0,US,America/New_York,41.6574777,-83.6135652,181.4839783,1937.0,2024-08-29,24.5,0.0,13.2,0.9031031569244948,1.0,False,False,False,True,False
401628320,2024,1,2024-08-29T23:30:00.000Z,False,True,False,40127.0,3983,War Memorial Stadium (AR),8,Arkansas,SEC,70.0,"[28, 21, 7, 14]",0.9989700310726486,1454.0,1454.0,2029,Arkansas-Pine Bluff,fcs,SWAC,0.0,"[0, 0, 0, 0]",0.0010299689273514,1480.0,1472.0,2.5735528941,54120.0,False,False,Little Rock,AR,72205.0,US,America/Chicago,34.749848,-92.330127,112.1398163,1948.0,2024-08-29,32.0,0.0,9.7,0.7414449371766445,,False,False,False,True,False
401645316,2024,1,2024-08-30T00:00:00.000Z,False,False,False,21267.0,7221,Protective Stadium,5,UAB,American Athletic,41.0,"[14, 14, 3, 10]",0.9941887855529784,1363.0,1363.0,2016,Alcorn State,fcs,SWAC,3.0,"[3, 0, 0, 0]",0.0058112144470214,1480.0,1472.0,2.457954599383663,45000.0,False,False,Birmingham,AL,35203.0,US,America/Chicago,33.5206824,-86.8024326,187.0,2021.0,2024-08-30,29.5,0.0,8.6,0.4726,0.0,False,False,False,True,False
401628327,2024,1,2024-08-30T00:00:00.000Z,False,False,False,62621.0,3838,Memorial Stadium,142,Missouri,SEC,51.0,"[28, 7, 10, 6]",0.9774129390716552,1744.0,1744.0,93,Murray State,fcs,MVFC,0.0,"[0, 0, 0, 0]",0.0225870609283447,1480.0,1472.0,1.712941538765301,71168.0,False,False,Columbia,MO,65211.0,US,America/Chicago,38.9358491,-92.3332009,212.6865692,1927.0,2024-08-30,29.0,0.0,2.9,0.8799038893884892,0.0,False,False,False,True,False
401645318,2024,1,2024-08-30T00:00:00.000Z,False,False,False,16483.0,3674,Chapman Stadium,202,Tulsa,American Athletic,62.0,"[14, 27, 7, 14]",0.9918601512908936,1248.0,1248.0,2466,Northwestern State,fcs,Southland,28.0,"[14, 0, 0, 14]",0.0081398487091064,1480.0,1472.0,3.903791429464651,30000.0,False,False,Tulsa,OK,74194.0,US,America/Chicago,36.1489175,-95.9437853,235.5928345,1930.0,2024-08-30,32.9,0.0,11.1,0.5494333333333333,0.0,False,False,False,True,False
401645317,2024,1,2024-08-30T00:00:00.000Z,False,False,False,20143.0,4729,Yulman Stadium,2655,Tulane,American Athletic,52.0,"[7, 14, 14, 17]",0.9875071048736572,1565.0,1565.0,2545,SE Louisiana,fcs,Southland,0.0,"[0, 0, 0, 0]",0.0124928951263427,1480.0,1472.0,2.15213815031093,30000.0,False,False,New Orleans,LA,70118.0,US,America/Chicago,29.944616,-90.116692,0.0,2014.0,2024-08-30,25.9,0.1,11.6,0.6714333333333333,0.0,False,False,False,True,False
401628448,2024,1,2024-08-30T00:00:00.000Z,False,False,False,50805.0,3953,Huntington Bank Stadium,135,Minnesota,Big Ten,17.0,"[0, 14, 0, 3]",0.9122595191001892,1492.0,1492.0,153,North Carolina,fbs,ACC,19.0,"[0, 7, 6, 6]",0.0877404808998107,1546.0,1546.0,5.521270141362677,50850.0,False,False,Minneapolis,MN,55488.0,US,America/Chicago,44.976525,-93.2245462,254.3902283,2009.0,2024-08-30,23.1,0.6,16.1,0.9991150442477876,1.0,False,False,False,False,False
401640998,2024,1,2024-08-30T00:00:00.000Z,False,False,False,18977.0,3662,AmFirst Stadium,55,Jacksonville State,Conference USA,27.0,"[3, 7, 0, 17]",0.0,1538.0,1449.0,324,Coastal Carolina,fbs,Sun Belt,55.0,"[17, 14, 10, 14]",1.0,1448.0,1537.0,2.6124580530927535,24000.0,False,False,Jacksonville,AL,36265.0,US,America/Chicago,33.8201052,-85.76647,198.0679016,1947.0,2024-08-30,29.0,0.0,6.2,0.7907083333333333,0.0,False,False,False,False,False
